,POPULATION,ZIPCODE,Id2,disability_r,edu_high_r,edu_low_r,employment_r,hh,hh_with6_r,utility_gas_r,tank_gas_r,electricity_r,fueloil_r,coal_r,other_fuels_r,occupied_hu_own_r,occupied_hu_rent_r,built_before1980_r,married_r,non_eng_r,below_poverty_r,pop,male_pop_r,female_pop_r,elder_pop_r,white_r,black_r,asian_r,native_r,towork_less30_r,towork_over30_r
204,0.0,10168,10168,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
205,0.0,10105,10105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,0.0,10118,10118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,0.0,10176,10176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,0.0,10170,10170,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
209,0.0,10112,10112,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
210,0.0,10122,10122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,0.0,10107,10107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,0.0,10103,10103,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
213,0.0,10174,10174,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
214,0.0,10166,10166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,0.0,10169,10169,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
216,0.0,10167,10167,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
217,0.0,10177,10177,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
218,0.0,10172,10172,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
219,0.0,10171,10171,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
220,0.0,10270,10270,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,0.0,10104,10104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,0.0,10271,10271,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
223,0.0,10110,10110,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
224,0.0,10175,10175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,0.0,10151,10151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,0.0,10173,10173,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
227,0.0,10178,10178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,0.0,10121,10121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,0.0,10123,10123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,0.0,10106,10106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,0.0,10158,10158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,0.0,10041,10041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,0.0,10120,10120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,0.0,10278,10278,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
235,0.0,10155,10155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,0.0,10043,10043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,0.0,10081,10081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,0.0,10096,10096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,0.0,10097,10097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,0.0,10196,10196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,0.0,10275,10275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,0.0,10265,10265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,0.0,10045,10045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,0.0,10047,10047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,0.0,10080,10080,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,0.0,10203,10203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0.0,10259,10259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
